DRUG_DESCRIPTOR,TARGET_TYPE,COMPANY_TYPE,STATUS,HIGHEST_DEV_STAGE,THERAPY_AREA,INDICATION,MOL_TYPE,TRIAL_COUNT,PUBLIC_NEWS,DEALS,DEAL_STATUS,DEAL_AMOUNT,DEAL_TYPE,HOT/NOT
7,14,1,4,6,8,6,10,1,8,8,3,48.41,10,1
14,18,2,4,7,8,6,6,7,7,3,1,4880,0,1
2,19,2,4,6,4,15,8,7,0,0,6,0,6,1
2,19,1,4,5,4,7,8,1,1,1,1,114,10,1
5,9,1,2,3,8,4,6,0,3,1,1,53,10,0
9,0,1,3,4,0,7,8,14,42,8,1,49,3,1
13,17,2,0,6,8,6,6,5,3,0,6,0,6,1
7,1,1,2,3,8,4,6,0,0,0,6,0,6,0
14,17,2,6,6,8,18,8,18,39,17,1,132.06,1,1
5,13,2,2,3,8,4,10,0,0,4,1,393.57,0,0
9,15,2,2,5,0,14,8,19,0,0,6,0,6,1
7,13,1,2,3,8,18,3,0,0,2,1,665,0,0
13,13,1,2,3,8,4,6,0,0,0,1,0,6,0
4,13,2,2,3,8,4,10,0,13,8,1,324.56,3,0
9,13,2,2,3,8,4,9,1,0,1,5,160000,0,0
14,17,2,1,6,8,19,8,4,0,1,1,0,1,1
14,7,2,2,3,8,4,8,0,0,1,1,0,0,0
14,7,1,2,3,8,4,8,33,19,7,1,210.5,10,0
7,6,2,8,6,8,19,6,4,49,7,1,253.4,5,1
9,15,1,8,1,0,8,8,0,0,0,6,0,6,1
14,19,2,8,3,4,14,8,0,0,5,1,4.69,3,1
13,13,2,2,3,8,4,6,0,0,1,1,0,5,0
9,15,2,8,9,0,12,8,0,0,0,6,0,6,1
13,16,0,2,3,8,4,6,0,0,0,6,0,6,0
13,6,2,2,3,10,11,6,0,0,4,1,94423.71,0,1
12,13,2,2,3,8,19,6,0,0,13,1,228.54,3,0
11,13,1,1,0,8,4,0,0,0,2,1,0.31,3,0
4,13,2,2,3,8,18,8,0,1,2,1,20.35,10,0
9,13,2,2,3,7,2,8,2,0,2,1,94200,0,0
9,0,1,5,6,0,12,8,10,6,9,1,8229.7,3,1
4,13,1,2,3,8,4,7,0,0,5,1,16.2,2,0
9,15,2,2,5,0,12,8,1,0,2,1,89535,0,1
14,14,2,4,7,8,6,8,7,10,3,1,338,5,1
13,6,2,8,7,4,10,6,7,3,12,1,604.84,3,1
7,6,2,2,3,4,16,6,1,0,0,6,0,3,1
14,14,1,8,9,8,6,8,0,1,1,1,0,7,1
9,15,1,8,9,0,13,8,0,0,2,1,0.41,4,1
9,0,2,5,6,0,13,8,5,0,4,1,12.34,10,1
7,17,2,4,6,8,18,2,39,16,6,1,4233.5,1,1
9,13,2,2,3,7,2,8,0,0,2,1,94200,0,0
13,1,2,2,3,8,4,6,0,0,6,3,314.5,3,0
4,2,1,2,3,8,4,8,0,1,1,1,1.94,10,0
14,18,2,6,2,8,18,6,2,1,1,1,1056,7,1
11,14,2,8,3,8,6,0,0,2,1,1,75,5,1
14,7,1,2,3,8,19,8,0,0,1,1,52.9,10,0
13,13,1,2,3,8,4,6,0,0,0,6,0,6,0
7,10,1,1,0,8,19,6,1,5,10,1,40.05,3,0
14,17,2,4,6,8,18,6,6,2,2,1,517,5,1
9,0,2,3,4,6,3,8,38,11,9,1,0,3,1
14,13,2,2,3,8,4,9,0,0,3,1,883.96,8,0
8,6,2,8,6,4,10,6,2,10,18,1,1457.5,3,1
7,13,1,2,3,8,4,3,0,0,0,6,0,6,0
7,13,1,2,3,8,4,9,0,0,0,6,0,6,0
13,13,2,2,3,8,4,6,0,0,3,1,325,8,0
4,13,2,2,3,8,0,7,1,1,2,1,0,3,0
14,13,1,2,3,8,4,8,0,1,2,1,42.4,10,0
14,14,1,8,1,8,6,8,0,0,0,6,0,6,1
7,19,2,4,7,4,15,8,45,11,24,1,0,1,1
9,2,0,2,3,8,19,8,0,0,0,6,0,6,0
1,19,2,8,9,4,15,8,2,15,3,1,4.03,3,1
7,18,1,8,9,8,6,2,0,0,2,1,46.5,8,1
7,11,2,2,3,8,4,6,0,0,3,1,71.35,10,0
7,1,2,2,3,8,18,6,0,0,4,1,72,3,0
9,6,2,2,3,4,5,6,0,0,0,6,0,6,1
14,14,2,4,6,8,19,5,1,0,0,6,0,6,1
4,13,2,2,3,8,4,8,0,0,1,1,268.48,3,0
7,12,1,2,3,8,19,6,0,0,3,3,252,3,0
13,18,2,4,5,8,6,6,2,4,0,6,0,6,1
4,13,1,2,3,8,4,7,0,0,1,1,0.51,10,0
14,18,1,8,9,8,18,6,0,0,0,6,0,6,1
13,13,1,2,3,8,19,2,0,0,0,6,0,6,0
7,13,1,2,3,8,4,3,3,0,1,1,89,10,0
10,0,2,5,7,0,12,8,0,0,19,1,8654.65,0,1
9,0,2,1,0,6,3,8,1,0,0,6,0,6,1
13,1,2,2,3,8,4,6,0,0,6,3,314.5,3,0
5,13,2,2,3,8,19,10,0,1,15,1,82.95,3,0
0,13,1,2,3,8,19,3,5,0,9,1,1.9,4,0
4,2,1,2,3,8,4,8,0,0,0,6,0,6,0
13,17,1,8,9,8,18,6,0,0,1,1,0,5,1
5,14,2,1,0,8,19,0,1,0,1,1,781,7,1
9,13,2,2,3,8,4,8,0,0,1,1,381.51,3,0
13,13,1,2,3,8,4,6,1,0,5,1,1037.61,7,0
7,1,2,2,3,8,4,6,0,0,1,1,1160,0,0
14,18,1,6,7,8,19,6,23,6,7,1,0,1,1
9,13,0,2,3,8,4,8,10,38,1,0,0,10,0
13,13,1,2,3,8,4,2,0,0,0,6,0,6,0
4,2,1,2,3,8,19,8,0,1,12,1,3054.8,0,0
9,15,2,2,5,0,13,8,1,0,0,6,0,6,1
14,17,2,7,3,8,6,8,0,0,1,1,0,9,1
7,18,2,8,3,8,6,6,0,0,3,2,973.67,3,1
13,13,1,2,3,8,4,6,0,0,2,1,9,10,0
14,16,1,2,3,8,4,6,0,0,5,1,242.59,3,0
1,19,2,8,3,4,11,8,0,3,3,1,548.5,3,1
13,17,1,4,5,8,18,6,1,10,6,1,369.2,3,1
9,8,1,2,3,7,2,6,0,0,0,6,0,6,0
9,15,2,2,5,0,12,8,16,18,0,6,0,6,1
7,13,1,2,3,8,4,6,0,0,0,6,0,6,0
13,13,1,2,3,8,19,6,0,0,0,6,0,6,0
9,13,2,2,3,8,4,8,0,0,0,6,0,6,0
9,0,1,7,9,6,3,8,0,0,1,1,0,5,1
13,17,2,1,3,3,9,6,3,3,3,1,587.5,10,1
10,0,2,2,7,8,19,8,11,2,14,1,53.4,3,1
14,13,1,2,3,8,4,6,0,0,0,6,0,6,0
13,13,2,2,3,8,4,2,0,0,17,2,401.3,3,0
